event_id,competition,season,home_team,away_team,kickoff,market,selection,odds,quote_timestamp,timestamp_timezone,available_at,source,source_dataset,bookmaker,temporal_basis,license,match_confidence,strict_status
btb-kaggle|1005256|t-1h,England: Championship,2015,Fulham,QPR,2015-09-25T18:45:00.000Z,1X2,HOME,2.75,2015-09-25T17:45:00.000Z,UTC,2015-09-25T17:45:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005282|t-1h,Argentina: Primera Division,2015,Olimpo Bahia Blanca,Godoy Cruz,2015-09-26T00:10:00.000Z,1X2,AWAY,3.44,2015-09-25T23:10:00.000Z,UTC,2015-09-25T23:10:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005282|t-1h,Argentina: Primera Division,2015,Olimpo Bahia Blanca,Godoy Cruz,2015-09-26T00:10:00.000Z,1X2,DRAW,2.88,2015-09-25T23:10:00.000Z,UTC,2015-09-25T23:10:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005282|t-1h,Argentina: Primera Division,2015,Olimpo Bahia Blanca,Godoy Cruz,2015-09-26T00:10:00.000Z,1X2,HOME,2.6,2015-09-25T23:10:00.000Z,UTC,2015-09-25T23:10:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|10091056|t-1h,Australia: A-League,2016,Adelaide United,Melbourne City,2016-04-22T09:45:00.000Z,1X2,AWAY,3.99,2016-04-22T08:45:00.000Z,UTC,2016-04-22T08:45:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|10091056|t-1h,Australia: A-League,2016,Adelaide United,Melbourne City,2016-04-22T09:45:00.000Z,1X2,DRAW,3.93,2016-04-22T08:45:00.000Z,UTC,2016-04-22T08:45:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|10091056|t-1h,Australia: A-League,2016,Adelaide United,Melbourne City,2016-04-22T09:45:00.000Z,1X2,HOME,1.93,2016-04-22T08:45:00.000Z,UTC,2016-04-22T08:45:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|10091093|t-1h,Uganda: Premier League,2016,Police,Simba,2016-04-22T14:00:00.000Z,1X2,AWAY,3.35,2016-04-22T13:00:00.000Z,UTC,2016-04-22T13:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,bet-at-home,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|10091093|t-1h,Uganda: Premier League,2016,Police,Simba,2016-04-22T14:00:00.000Z,1X2,DRAW,2.7,2016-04-22T13:00:00.000Z,UTC,2016-04-22T13:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,bet-at-home,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|10091093|t-1h,Uganda: Premier League,2016,Police,Simba,2016-04-22T14:00:00.000Z,1X2,HOME,2.15,2016-04-22T13:00:00.000Z,UTC,2016-04-22T13:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,bet-at-home,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
